Name,Rating,Address,Reviews
Da Andrea - Greenwich Village,4.3,"35 W 13th St, New York, NY 10011","['This place is wonderful. The atmosphere is great and the food is even better! \n\nSasha was our waiter and he was nothing short of fantastic. He had great...', 'Great food, great atmosphere, EXCELLENT service (thank you, Tatiana!) We came in for dinner after a long rainy day of work and were met with a coziness like...', 'We came here on a recommendation from a local. The atmosphere is lovely, the food is tasty, and our server Tatiana was incredibly helpful. I got a daily...']"
Joe's Shanghai,3.8,"46 Bowery St, New York, NY 10013","['If I could rate this 11/10- I WOULD!!! The food here was absolutely phenomenal. We ordered the pork soup dumplings, Shanghai noodles with pork, & the sesame...', 'I was so disappointed with my visit to Joes. Not only the restaurant accepts only cash but now they automatically add 18% tips to the bill. \nI came by for...', 'Soup dumplings are always a go to - big, delicious soup, and great temperature.\n\nWe also got the seafood pan fried noodles, that gets a 1-2 stars ( so this...']"
Rubirosa,4.3,"235 Mulberry St, New York, NY 10012","['Great food, incredible music and ambiance. Pizza, pasta and salads all were perfecto.', ""This is a can't miss spot. The tie-dye and bianca pizzas are to die for! You might have to wait a bit to sit down, but once you do, the attentive service..."", ""Service- 5 stars\nRice balls- 5 stars\nCarbonara- 4 stars\nCavatelli- 5 stars\nRagú- 5 stars\nSpicy Honey pizza- 5 stars\n\nIt's not officially in little Italy but...""]"
Kalye,4.6,"251 Broome St, New York, NY 10002","['Very very delicious and fun experience! \n\nWe stumbled upon it after getting drinks and were famished so we decided to get the $85 Kamayan style one where...', 'This place is so good if you want to try some authentic Filipino food! I came here for dinner with a group of friends and they ended up surprising me with...', ""Was looking for a new neighborhood spot for brunch and came across Kalye. I'm giving it a 3 but I'll say it's closer to 3.5. The service started out good...""]"
Raku,4.5,"342 E 6th St, New York, NY 10003","['Food si really good, service is cool. Do not recommend for largue groups and def make a reservation', 'Really great ramen place in manhattan. The noodles were super chewy and broth really flavorful. The texture of the noodles is truly like no other udon...', ""One of my favorite udon places! The noodles don't disappoint. It's so bouncy and chewy and Al Dante. I tried their shrimp tempura udon and the flavor was...""]"
Antidote,4.6,"66 S 2nd St, Brooklyn, NY 11249","['I had the pleasure to dine at Antidote tonight, place was busy, but our waitress Beck made us feel like we were the only ones there. Food was fantastic and...', '4.5 stars!\nThe restaurant has great vibes, very romantic with plants and beautiful lights. We were sat down next to a wall with a row of travels for 2. I...', 'Decor and ambiance is A+ but the restaurant was a bit chilly. A couple of the other customers and I were still wearing our jackets inside the...']"
AlMar,3.9,"111 Front St, Brooklyn, NY 11201","[""Welcome to Almar, where the ambiance is dimmed and the wall mirrors are huge (and not just for taking selfies, I promise). Let's dive into the food and see..."", ""Came here at 6:15PM on a Friday night. There was already a good amount of people inside so I'm glad we made reservations ahead of time. We got seated and..."", ""Recommend by a friend who lives near the neighborhood and I'm glad he chose this spot! The place was very relaxing and the waiter was attentive. Food was...""]"
LoveMama,4.3,"174 2nd Ave, New York, NY 10003","[""Been coming here for 3 years, and it's a go to for delicious and affordable dinners. Menu has range and the dishes are pretty consistently delicious. The..."", ""My favorite spot - service is so quick and friendly, food is incredible, and it's so cozy"", ""One of the best Indian restaurants in the City. I've tried many. Very unassuming, but delicious gourmet quality food. Good drinks, too.""]"
SOBOKU,4.7,"276 Smith St, Brooklyn, NY 11231","['Very happy I decided to stop in and peek at the menu. This is a fantastic little Japanese restaurant with unique menu that includes items like a breaded...', 'Wow! What a wonderful and authentic Japanese meal in Brooklyn. SOBOKU is delicious and I enjoyed every single dish I had here. The Karaage and Crab Cream...', ""SOBOKU was phenomenal, I can't believe it's taken me this long to stop by!\n\nI had the shishito peppers to start, they were hot and crispy, without tasting...""]"
Benemon,4.3,"108 E 4th St, New York, NY 10003","[""The Unagi Don was phenomenal! Maybe that's just me loving unagi but I loved it so much. Everyone else in our party loved their food as well. The appetizers..."", ""It's fine for what it is. Small, cozy restaurant with small-portioned, Japanese-home styled cooking. Servers were nice, but because of how small the..."", ""I have to give this place a three. A couple hours later I kinda feel a bit sick, but it's not because of poisoning, it's just that there is a LOT of oil in...""]"
Jack's Wife Freda,3.9,"226 Lafayette St, New York, NY 10012","['Indulging in breakfast was an absolute delight! Nestled in the heart of Soho, this charming spot boasts an ambiance that effortlessly blends sophistication...', 'I enjoyed the food and ambiance of this restaurant. The interior is decorated so cutely. It has very playful decor and was a great brunch spot. I came in on...', ""I totally forgot to take pictures, but I came here with a friend a few months ago. We made it a whole day night, we came here, then walked to Marie's crisis...""]"
